date,year,quarter,market,consumer_inc,consumer_reg,price_inc,price_reg,smartmeter,consumer_commercial,consumer_market,consumer_EDP,consumer_ENDESA,consumer_IBERDROLA,consumer_NATURGY,consumer_OTHERS,consumer_REPSOL,price_EDP,price_ENDESA,price_IBERDROLA,price_NATURGY,price_REPSOL,consumer_reg_fdata,registration_distr_reg,switch_reg_inc,switch_reg_others,switch_inc_reg,switch_others_reg,consumer_reg_lag,consumer_inc_lag,consumer_commercial_lag,consumer_market_lag,consumer_ENDESA_lag,consumer_IBERDROLA_lag,consumer_NATURGY_lag,consumer_OTHERS_lag,consumer_REPSOL_lag,consumer_EDP_lag,reg_switch_out,reg_switch_in,lambdas,P,Pi,Po
2016 Q1,2016,1,EDP,371506,205985,0.12097865829413684,0.09340539457741646,0.556666667,433250,639235,371506,7946,23700,22772,5336,1990,0.12097865829413684,0.13444341877611377,0.12839239269983685,0.12926345518954338,0.10731389375,234801,458.8147196988088,1729.1086281574608,1129.0526658745066,1168.5300318141747,221.07324926214113,,,,,,,,,,,2858.1612940319674,1389.6032810763159,,,,
2016 Q2,2016,2,EDP,373630,202781,0.11663182348645239,0.08943662629082788,0.596666667,436746,639527,373630,7662,23842,23279,6099,2234,0.11663182348645239,0.13182245316790653,0.12710322686945352,0.132693132293578,0.10367889335557674,231943,515.8197919316383,2551.122292977154,1298.2921881669204,1158.4088547617303,480.8489585803408,205985,371506,433250,639235,7946,23700,22772,5336,1990,371506,3849.414481144074,1639.2578133420711,0.022471469096148722,0.16837485129210952,0.5511428989165624,0.280482249791328
2016 Q3,2016,3,EDP,374864,199925,0.11660564513737888,0.10188483137587401,0.653333333,440025,639950,374864,8082,24410,23307,6739,2623,0.11660564513737888,0.13178161203662458,0.1281427140790605,0.1359547175200835,0.10221844978243352,229244,715.9987829561514,1976.191525187137,1350.0196297394916,1036.0615763117028,305.2369963881279,202781,373630,436746,639527,7662,23842,23279,6099,2234,373630,3326.2111549266283,1341.2985726998306,0.019474090604630276,0.15770277668751737,0.5004314389161211,0.3418657843963616
2016 Q4,2016,4,EDP,375709,197298,0.11645255236047365,0.12124563991658668,0.7,443261,640559,375709,7896,24872,24301,7422,3061,0.11645255236047365,0.12986917605032083,0.1277436415448876,0.1334262301640173,0.09656693035099793,226874,618.3118294736286,2137.567477983374,1407.942126466673,1262.7127656761022,273.0659837619119,199925,374864,440025,639950,8082,24410,23307,6739,2623,374864,3545.509604450047,1535.778749438014,0.02122440628808358,0.16444313655138293,0.5037524577769685,0.33180440567164854
2017 Q1,2017,1,EDP,378616,192299,0.12056597777902624,0.12439253478361889,0.743333333,448214,640513,378616,8010,24953,24925,8191,3519,0.12056597777902624,0.12969138433458177,0.12572036366843625,0.1345485302891933,0.09608782610732287,221872,358.81853501117763,3717.325354258311,1529.745686702243,1690.9540140261051,373.55262944400374,197298,375709,443261,640559,7896,24872,24301,7422,3061,375709,5247.0710409605545,2064.506643470109,0.031252190728880185,0.14903089059218086,0.6028752081681756,0.24809390123964328
2017 Q2,2017,2,EDP,379019,190728,0.1218874609313211,0.11032024856044609,0.776666667,450374,641102,379019,8356,24363,25590,9243,3803,0.1218874609313211,0.1292267065305037,0.12380167145965786,0.13576794010645377,0.09594183432321576,225665,511.33512064343165,993.9340526887199,1617.6783816719474,1700.5062193960075,278.91006580550817,192299,378616,448214,640513,8010,24953,24925,8191,3519,378616,2611.612434360667,1979.4162852015156,0.017997228903512588,0.24538390923294262,0.28719369668027817,0.46742239408677927
2017 Q3,2017,3,EDP,381067,189023,0.12847719850495687,0.11082067835742188,0.826666667,452702,641725,381067,8577,23788,24501,10239,4530,0.12847719850495687,0.12316848786269483,0.11484489673070455,0.1362901529930865,0.0948472112199588,218905,663.1628514652474,1360.8654347776433,967.9759850163313,1105.271419108746,284.0892944427948,190728,379019,450374,641102,8356,24363,25590,9243,3803,379019,2328.8414197939746,1389.3607135515408,0.015295179823798752,0.2016912772252203,0.46649408494366057,0.331814637831119
2017 Q4,2017,4,EDP,382409,187706,0.1278151348324321,0.1253970879777244,0.88,454794,642500,382409,8710,23512,24000,11234,4929,0.1278151348324321,0.11996180284041331,0.11531609985071453,0.13814456869334385,0.0942600788401254,222484,565.2677046439294,1528.7538519623884,1221.6531885438953,1394.6082325021125,301.19488142967583,189023,381067,452702,641725,8577,23788,24501,10239,4530,381067,2750.407040506284,1695.8031139317884,0.018296606451836707,0.20473517707648103,0.4420306316372443,0.3532341912862747
2018 Q1,2018,1,EDP,382250,186415,0.12953542903714113,0.11418733202712314,0.922666667,455985,642400,382250,9000,23448,23576,12186,5525,0.12953542903714113,0.11790676898407405,0.11987006110627771,0.14023174352179826,0.09447169654118524,211944,330.71018759672364,1123.1832701090852,4032.7292822632394,1990.417964179217,357.976187106028,187706,382409,454794,642500,8710,23512,24000,11234,4929,382409,5155.912552372325,2348.3941512852452,0.0326316657315399,0.15824027173358426,0.1833720868297872,0.6583876414366284
2018 Q2,2018,2,EDP,381509,186615,0.12924713261747664,0.11538157238765559,0.961666667,456491,643106,381509,9218,23532,22700,13156,6376,0.12924713261747664,0.1161167885478291,0.12031783656099493,0.1394672389412082,0.09762949619262602,213310,423.4290938071352,1247.541090431766,2249.2483474755054,3884.3495382307437,382.3109793258638,186415,382250,455985,642400,9000,23448,23576,12186,5525,382250,3496.7894379072713,4266.660517556607,0.028115109943784227,0.33281105699783065,0.23803138171656077,0.42915756128560856
2018 Q3,2018,3,EDP,380532,185971,0.13846157434881973,0.1301008304546018,0.972666667,457554,643525,380532,9327,23849,22456,14569,6821,0.13846157434881973,0.11769785710684633,0.11864955406334368,0.13822351930884197,0.09795567000146603,214993,546.6860409408679,1157.3827892070904,1095.9671105570878,2043.1525770606486,273.34302047043394,186615,381509,456491,643106,9218,23532,22700,13156,6376,381509,2253.349899764178,2316.4955975310827,0.01714942960822568,0.2959031440336343,0.36164360586679356,0.3424532500995721
2018 Q4,2018,4,EDP,376947,188336,0.14512313473947952,0.12829349484018873,0.979333333,455731,644067,376947,9729,24055,21358,16124,7518,0.14512313473947952,0.12613110594990923,0.12615897244730828,0.14127121422169345,0.1016491061177618,215448,585.687126359957,745.6583862463332,1175.7450521703613,5619.973933385318,533.2375329545877,185971,380532,457554,643525,9327,23849,22456,14569,6821,380532,1921.4034384166944,6153.211466339905,0.023779792113132872,0.5655245081184692,0.16861128051635385,0.26586421136517696
2019 Q1,2019,1,EDP,372722,190397,0.13751380637077787,0.11911750914963017,0.983666667,453288,643685,372722,9665,24046,20535,18101,8219,0.13751380637077787,0.12370639030499514,0.1283017634072195,0.1440110202465591,0.10335259155615038,226183,286.2062135527427,751.7122020664682,1166.7112117179454,7324.3537180071,576.6213420106727,188336,376947,455731,644067,9729,24055,21358,16124,7518,376947,1918.4234137844137,7900.975060017772,0.027523101741365467,0.629904547897956,0.1450176563085236,0.22507779579352047
2019 Q2,2019,2,EDP,370841,189984,0.12527032861493997,0.10925246002288355,0.987333333,454244,644228,370841,9703,24123,19589,20823,9165,0.12527032861493997,0.12324237669199213,0.13530195027138417,0.1351230464297176,0.10444123658847063,226200,390.55066312997343,897.8465782493369,848.2928381962865,2276.952360742706,489.6581432360743,190397,372722,453288,643685,9665,24046,20535,18101,8219,372722,1746.1394164456233,2766.6105039787803,0.015274472429165962,0.3995835312319752,0.3087278523872143,0.2916886163808105
2019 Q3,2019,3,EDP,370021,188909,0.12476393639777962,0.10460597741741963,0.990666667,455548,644457,370021,9627,24257,18586,23084,9973,0.12476393639777962,0.12228116732180325,0.12916258475273665,0.1353023107722432,0.10500151092048528,227287,550.2195814102874,1165.2686603281315,908.4441125097344,1396.3276386242944,519.4671274643952,189984,370841,454244,644228,9703,24123,19589,20823,9165,370841,2073.712772837866,1915.7947660886896,0.01513274248786782,0.27870331930863534,0.4053138061440053,0.3159828745473593
2019 Q4,2019,4,EDP,367990,188713,0.1261307955900039,0.10164966997416856,0.992333333,456198,644911,367990,9477,24804,17898,24867,11162,0.1261307955900039,0.12003817822867291,0.12515977787264151,0.12697065921452966,0.10517098042465509,228932,445.1322663498332,956.2100536403823,1033.6960407457236,1846.4745863400485,689.9550128422413,188909,370021,455548,644457,9627,24257,18586,23084,9973,370021,1989.906094386106,2536.42959918229,0.016101540079618584,0.34579702366531995,0.3143643134002605,0.33983866293441956
2016 Q1,2016,1,ENDESA,4047610,5906275,0.13458714983737194,0.0949365214422045,0.526666667,5640750,11547025,50804,4047610,631927,619951,202247,88211,0.12104512823715456,0.13458714983737194,0.12797045951912966,0.12981712464840062,0.1083036212247632,5998168,10906.313711119796,104076.71849137936,27666.548965450784,17962.52931728488,3021.9823744516657,,,,,,,,,,,131743.26745683013,20984.511691736545,,,,
2016 Q2,2016,2,ENDESA,4140153,5791174,0.13183991731017128,0.09080938721973324,0.58,5764644,11555818,55713,4140153,632772,628594,222499,84913,0.11660286050591424,0.13183991731017128,0.1264669503997863,0.13309370638234733,0.10601250332268136,5882337,11777.600392837065,93721.66050295996,27584.7684867426,20086.799365966282,3095.2750677154336,5906275,4047610,5640750,11547025,4047610,631927,619951,202247,88211,50804,121306.42898970256,23182.074433681715,0.024648318084068876,0.16673552986572043,0.6437822828477877,0.18948218728649185
2016 Q3,2016,3,ENDESA,4236344,5692652,0.13169947419279807,0.10328251545272264,0.63,5878142,11570794,58491,4236344,626662,628386,242298,85961,0.11646482590531194,0.13169947419279807,0.1276571171750364,0.136347730310501,0.10450742201875955,5778692,10215.599177114822,91038.03108523521,23088.042228933467,17983.197972828453,2709.054748029485,5791174,4140153,5764644,11555818,4140153,632772,628594,222499,84913,55713,114126.07331416868,20692.252720857938,0.023296408597004006,0.15408001315378017,0.6747878711828689,0.17113211566335074
2016 Q4,2016,4,ENDESA,4297366,5574765,0.12960750542496033,0.12275112325253329,0.706666667,5969659,11544424,61093,4297366,615982,638663,266527,90028,0.11617488430030717,0.12960750542496033,0.12735030126765104,0.1338708307740152,0.09858370894016327,5677656,8787.807283498683,86665.45361765489,27008.515636558466,20704.859462249915,3775.320559223736,5692652,4236344,5878142,11570794,4236344,626662,628386,242298,85961,58491,113673.96925421336,24480.18002147365,0.024133155411144504,0.17256806297239083,0.6308371620231311,0.1965947750044782
2017 Q1,2017,1,ENDESA,4378317,5455509,0.12925341144229166,0.12585539269943147,0.763333333,6103982,11559491,64404,4378317,610119,653614,302859,94669,0.1200041396719769,0.12925341144229166,0.12511932510512752,0.1350407362593394,0.0979313684406464,5519899,9265.639982724322,100341.69225451407,35035.484986410076,21920.28044552989,3684.512624596936,5574765,4297366,5969659,11544424,4297366,615982,638663,266527,90028,61093,135377.17724092415,25604.793070126827,0.028573080428534983,0.15011174817724407,0.629937978861523,0.21995027296123287
2017 Q2,2017,2,ENDESA,4439862,5366072,0.1285659129031683,0.11165741808852485,0.806666667,6214957,11581029,67994,4439862,608100,666555,336523,95923,0.12104130556733537,0.1285659129031683,0.12302976465390181,0.13628175181695307,0.09783712771480567,5498849,9314.523319334647,76856.28366518156,30007.50047873655,19287.747868690338,3549.179812720807,5455509,4378317,6103982,11559491,4378317,610119,653614,302859,94669,64404,106863.7841439181,22836.927681411144,0.02332954985231828,0.160368133021463,0.6038620610320308,0.23576980594650634
2017 Q3,2017,3,ENDESA,4475155,5303768,0.12428584037203629,0.11215203026824856,0.853333333,6292791,11596559,72639,4475155,607771,671944,369456,95826,0.12733760871281818,0.12428584037203629,0.11426250168596394,0.13678813538485668,0.09771723249818533,5374704,8978.91028640833,53154.08314950926,24205.26326138146,15841.130544863494,2691.0087208523482,5366072,4439862,6214957,11581029,4439862,608100,666555,336523,95923,67994,77359.34641089072,18532.139265715843,0.017398243708693414,0.17138863384612135,0.5693439706849844,0.2592673954688941
2017 Q4,2017,4,ENDESA,4505545,5230841,0.12285053974931112,0.12676130646863812,0.89,6386178,11617019,79044,4505545,611854,678969,415303,95463,0.12576578465023736,0.12285053974931112,0.11461698485450776,0.13864919363270714,0.09696540557014456,5343474,8408.934747319814,58005.00809286244,28881.117793966998,12064.227220718209,2143.8378459406745,5303768,4475155,6292791,11596559,4475155,607771,671944,369456,95826,72639,86886.12588682944,14208.065066658883,0.018639794038398307,0.12112966610914026,0.5867321198820261,0.29213821400883344
2018 Q1,2018,1,ENDESA,4543406,5146953,0.12177421484087758,0.1154666953935164,0.907,6477599,11624552,82072,4543406,611571,679057,466490,95003,0.126405157823784,0.12177421484087758,0.11911734181040304,0.1407449147408522,0.09677961096346706,5212330,8281.803878687651,72651.17903547933,32472.53136409245,22863.58495375389,2845.8517680192926,5230841,4505545,6386178,11617019,4505545,611854,678969,415303,95463,79044,105123.71039957178,25709.43672177318,0.024122698132619597,0.16688821136442616,0.5757650056554515,0.25734678298012237
2018 Q2,2018,2,ENDESA,4555850,5098264,0.12081178128412247,0.11646990292717047,0.925333333,6539822,11638086,85951,4555850,609460,681281,512174,95106,0.12467843331820805,0.12081178128412247,0.11953952779502618,0.14078516695290227,0.09997296238041202,5188418,10059.1217916521,62944.92758910327,28677.881165318602,40783.808729366065,3032.377634955395,5146953,4543406,6477599,11624552,4543406,611571,679057,466490,95003,82072,91622.80875442187,43816.18636432146,0.024565632321486272,0.27535474736021054,0.49783174708664063,0.22681350555314883
2018 Q3,2018,3,ENDESA,4561372,5048404,0.12214392014666102,0.13115476623184066,0.948666667,6597113,11645517,91148,4561372,611337,675831,560359,97066,0.13273170118954472,0.12214392014666102,0.11795940993646498,0.13941541257959875,0.10000237284095356,5164384,11019.83475512278,46249.4830066858,25700.565559028917,22287.965263620987,1929.6685715082378,5098264,4555850,6539822,11638086,4555850,609460,681281,512174,95106,85951,71950.04856571471,24217.633835129225,0.017815759400807527,0.20785546212031566,0.5091904185449455,0.28295411933473874
2018 Q4,2018,4,ENDESA,4570512,4991090,0.1286813446035951,0.12925596479058132,0.965333333,6646102,11637192,93656,4570512,614484,651046,612792,103612,0.13802935732629862,0.1286813446035951,0.12547022011756206,0.1426884878864289,0.10339141894375167,5143117,10168.277528977078,71898.98013403156,28729.896568559492,50823.9197125012,3393.631085973739,5048404,4561372,6597113,11645517,4561372,611337,675831,560359,97066,91148,100628.87670259105,54217.55079847494,0.0281511851360691,0.29193709966010545,0.5059084635878879,0.20215443675200662
2019 Q1,2019,1,ENDESA,4600136,4912772,0.12576386638335282,0.119998514049397,0.975,6724364,11637136,96209,4600136,614003,625584,674503,113929,0.1292757952974739,0.12576386638335282,0.12751433054918299,0.14507403830629806,0.10489695994874,5018362,9848.330255967983,76064.156317938,33222.9407452073,32943.93735326387,3418.5257707594633,4991090,4570512,6646102,11637192,4570512,614484,651046,612792,103612,93656,109287.09706314531,36362.463124023336,0.027367685489751162,0.1999163073220265,0.5568607155163734,0.24322297716160007
2019 Q2,2019,2,ENDESA,4604853,4852081,0.12410706626323889,0.11003865524179268,0.979333333,6795950,11648031,100586,4604853,611537,605468,742271,131235,0.11684926880366318,0.12410706626323889,0.13428291351835925,0.13514206677304794,0.10637427667923953,4990795,10972.317269292767,53965.212385601895,33075.421390980795,24495.703164726263,3183.0025464880846,4912772,4600136,6724364,11637136,4600136,614003,625584,674503,113929,96209,87040.63377658269,27678.70571121435,0.021833396135531303,0.1885268751979907,0.5031135186532849,0.30835960614872454
2019 Q3,2019,3,ENDESA,4608933,4805237,0.12293563015921734,0.10535451087708252,0.981666667,6847995,11653232,105287,4608933,609320,584740,793862,145853,0.11743783956015515,0.12293563015921734,0.12816979089401323,0.13557845049803616,0.10712260082978523,4970810,10885.906694683563,46671.83866613288,24910.658877124653,20859.25714038557,3034.442866052012,4852081,4604853,6795950,11648031,4604853,611537,605468,742271,131235,100586,71582.49754325753,23893.700006437582,0.018268821190294292,0.19245212315222288,0.5265217827953205,0.2810260940524568
2019 Q4,2019,4,ENDESA,4594031,4759921,0.12026457714087518,0.1023843634628786,0.986,6894347,11654268,111257,4594031,610499,568436,846848,163276,0.12031664107480111,0.12026457714087518,0.12420770291640608,0.12780998714073746,0.10743977586111861,4853103,7751.25845526048,45073.62186131224,33877.79555904748,26965.120677018396,3404.3550674692046,4805237,4608933,6847995,11653232,4608933,609320,584740,793862,145853,105287,78951.41742035972,30369.4757444876,0.02086508401348039,0.21254638488312352,0.44955983870592914,0.33789377641094737
2016 Q1,2016,1,IBERDROLA,5147898,3853176,0.12661014563724846,0.09485941836706369,0.56,6662716,10515892,253003,411991,5147898,566802,222952,60070,0.12109661679306888,0.1351860517689464,0.12661014563724846,0.1296899578086647,0.10813262827522545,3904037,4060.403644740047,78587.66169480464,16028.428583028286,29066.331389789597,3366.562185757973,,,,,,,,,,,94616.09027783293,32432.89357554757,,,,
2016 Q2,2016,2,IBERDROLA,5182514,3797992,0.12512888983232337,0.09075770190973498,0.62,6729969,10527961,262110,414157,5182514,568359,245328,57501,0.11666669337365228,0.1325233588700903,0.12512888983232337,0.1330631756034065,0.10587791661573666,3849917,5037.133827040947,67760.59756716834,16539.871865289562,34127.42021399422,4653.380388200577,3853176,5147898,6662716,10515892,411991,5147898,566802,222952,60070,253003,84300.4694324579,38780.800602194795,0.027698747110360866,0.21013836245158474,0.63488966213343,0.15497197541498517
2016 Q3,2016,3,IBERDROLA,5201657,3755538,0.1263440152044604,0.10322905135672589,0.68,6784125,10539663,269979,419402,5201657,569417,261017,62653,0.1165413448767082,0.13233957931649706,0.1263440152044604,0.1363459601868231,0.10419310248375258,3810311,3792.685222807272,53783.58815960167,14835.628371542376,30051.70801543496,3556.135208910769,3797992,5182514,6729969,10527961,414157,5182514,568359,245328,57501,262110,68619.21653114405,33607.84322434573,0.023060994662703893,0.21654568969059787,0.6140697329066857,0.16938457740271648
2016 Q4,2016,4,IBERDROLA,5214673,3707380,0.1263267122058856,0.12268918461986518,0.73,6831095,10538475,277423,409788,5214673,578524,280265,70422,0.11636459201847935,0.13014126327533587,0.1263267122058856,0.13390228631712903,0.09803818529237845,3768916,3253.005813873273,57356.97490206733,16843.42865163352,31849.356589533967,5620.706144684572,3755538,5201657,6784125,10539663,419402,5201657,569417,261017,62653,269979,74200.40355370086,37470.06273421854,0.025280793835721283,0.21847405618612964,0.6041202176509037,0.17740572616296668
2017 Q1,2017,1,IBERDROLA,5263662,3629353,0.12415472987863527,0.12579972762133237,0.786666667,6920299,10549652,284105,397879,5263662,587637,306552,80464,0.1203704804944503,0.12977014700006786,0.12415472987863527,0.1351031389131135,0.0971140342531894,3684732,2851.4901314396816,85588.04265330559,21558.05337023154,29666.332044501472,3529.149962331046,3707380,5214673,6831095,10538475,409788,5214673,578524,280265,70422,277423,107146.09602353713,33195.48200683252,0.033760226220385825,0.14394059908616796,0.6838181813276814,0.17224121958615052
2017 Q2,2017,2,IBERDROLA,5304238,3573937,0.12231652126674267,0.11161090429596111,0.83,6990937,10564874,292902,388758,5304238,591108,329396,84535,0.1215249899593543,0.12913514839288764,0.12231652126674267,0.1363771068078045,0.09674224693329682,3679226,2901.520542364073,59761.41506773436,17610.199502014828,24124.292825447526,3427.0386586744057,3629353,5263662,6920299,10549652,397879,5263662,587637,306552,80464,284105,77371.61456974919,27551.331484121933,0.02529952834108732,0.15736397171597755,0.6508474938430104,0.19178853444101196
2017 Q3,2017,3,IBERDROLA,5332767,3529894,0.11440417175261172,0.11211780711504937,0.876666667,7046186,10576080,301767,381981,5332767,593716,350062,85893,0.12800386696905494,0.12450833064175094,0.11440417175261172,0.13690489350074755,0.09647080736338497,3574364,3003.1657811011974,49017.472392291325,16156.459118321469,23217.503292893507,2996.2528707204974,3573937,5304238,6990937,10564874,388758,5304238,591108,329396,84535,292902,65173.93151061279,26213.756163614005,0.021985569730958405,0.1705517353173921,0.62383005708798,0.20561820759462784
2017 Q4,2017,4,IBERDROLA,5371054,3482849,0.11488722097622553,0.12673431524862105,0.916666667,7107042,10589891,307693,370407,5371054,593508,378351,86029,0.127000719991784,0.12256379226186333,0.11488722097622553,0.13879317039641972,0.09595809977568238,3573667,2725.919525518186,55891.583435446,16628.401481727313,27402.459527706418,3648.85330838044,3529894,5332767,7046186,10576080,381981,5332767,593716,350062,85893,301767,72519.98491717331,31051.312836086858,0.024951347591772345,0.17661673712090026,0.6345863749022792,0.18879688797682065
2018 Q1,2018,1,IBERDROLA,5384769,3450034,0.11961249674675553,0.11545420595032943,0.953666667,7151252,10601286,308609,367044,5384769,592793,411836,86201,0.12824349968767598,0.12055153640406419,0.11961249674675553,0.14091159374027007,0.09583775224039427,3469164,2722.901855317304,56555.40745436076,20035.903462044458,43007.52871988756,5964.925247696563,3482849,5371054,7107042,10589891,370407,5371054,593508,378351,86029,307693,76591.31091640521,48972.45396758412,0.028881688167059178,0.23858350259259375,0.5622337539090809,0.19918274349832518
2018 Q2,2018,2,IBERDROLA,5388614,3432284,0.12012636027033297,0.11650462356112856,0.975333333,7181755,10614039,310277,362255,5388614,592070,441118,87421,0.12744746566487364,0.1189066196340055,0.12012636027033297,0.14078200493204665,0.09903819640983115,3467237,2542.1121521257414,48948.52787623113,16948.404266567297,50955.093815623215,5573.244321054489,3450034,5384769,7151252,10601286,367044,5384769,592793,411836,86201,308609,65896.93214279843,56528.3381366777,0.027005048936039912,0.29271108335775015,0.5253772842989024,0.1819116323433476
2018 Q3,2018,3,IBERDROLA,5397046,3409294,0.11790108064122194,0.1312162631547758,0.988,7208644,10617938,311128,360395,5397046,581661,468996,89418,0.13649174308896175,0.12018757447244766,0.11790108064122194,0.13950783116190899,0.09945982993491242,3463407,2505.23638428865,40122.17280440906,14473.277233082914,35824.38810743294,4655.113108566218,3432284,5388614,7181755,10614039,362255,5388614,592070,441118,87421,310277,54595.45003749197,40479.50121599916,0.021542884726155436,0.26163793304748606,0.5426219661555213,0.1957401007969928
2018 Q4,2018,4,IBERDROLA,5393903,3405591,0.12523054838269435,0.1293566357724539,0.994666667,7219499,10625090,309099,361292,5393903,557998,500173,97034,0.14255586944861406,0.12801863115221668,0.12523054838269435,0.1423995156325227,0.10295371568556726,3465387,2916.7865199471225,53975.291790787,13174.67657897949,67639.37527237218,5945.605945310004,3409294,5397046,7208644,10617938,360395,5397046,581661,468996,89418,311128,67149.96836976649,73584.98121768219,0.029904031841587464,0.34135467771975514,0.5294205540194922,0.12922476826075255
2019 Q1,2019,1,IBERDROLA,5390286,3397144,0.1273842580814803,0.12008463792131796,0.997,7235741,10632885,303377,361664,5390286,535474,536204,108736,0.13432091044648034,0.12496812292887567,0.1273842580814803,0.14466744731734957,0.10454525226236021,3464364,2549.5514905477603,46487.14904322987,13729.334776599688,55496.87177213479,6097.3504493176815,3405591,5393903,7219499,10625090,361292,5393903,557998,500173,97034,309099,60216.483819829555,61594.22222145247,0.026213302339717755,0.32547016071356155,0.520737299554654,0.15379253973178456
2019 Q2,2019,2,IBERDROLA,5380358,3378470,0.13423828968961463,0.11012746262823983,0.997,7265595,10644065,301542,363178,5380358,516953,576833,126731,0.12175481512337258,0.12420833251987345,0.13423828968961463,0.135129712796115,0.10584006636103242,3454937,3007.9198897114475,38041.972519325245,15238.106515401005,38303.06309492764,4928.451314741774,3397144,5390286,7235741,10632885,361664,5390286,535474,536204,108736,303377,53280.07903472625,43231.51440966941,0.021658504194495744,0.2758601554344245,0.5170357958582863,0.2071040487072893
