"date","group","prop","category","year","quarter","plot"
"2011 Q1",NA,0.0431460522025295,"Trad - reg","2011","1","by-type"
"2011 Q2",NA,0.043292428236214,"Trad - reg","2011","2","by-type"
"2011 Q3",NA,0.0435039517810824,"Trad - reg","2011","3","by-type"
"2011 Q4",NA,0.0437045463705247,"Trad - reg","2011","4","by-type"
"2012 Q1",NA,0.0438914133697249,"Trad - reg","2012","1","by-type"
"2012 Q2",NA,0.0441307492020257,"Trad - reg","2012","2","by-type"
"2012 Q3",NA,0.0443007064028119,"Trad - reg","2012","3","by-type"
"2012 Q4",NA,0.044513457382052,"Trad - reg","2012","4","by-type"
"2013 Q1",NA,0.0448921202124275,"Trad - reg","2013","1","by-type"
"2013 Q2",NA,0.0450438447918707,"Trad - reg","2013","2","by-type"
"2013 Q3",NA,0.0454023548555081,"Trad - reg","2013","3","by-type"
"2013 Q4",NA,0.0460350120091836,"Trad - reg","2013","4","by-type"
"2014 Q1",NA,0.0467854079789053,"Trad - reg","2014","1","by-type"
"2014 Q2",NA,0.0469788197761592,"Trad - reg","2014","2","by-type"
"2014 Q3",NA,0.0472096457945709,"Trad - reg","2014","3","by-type"
"2014 Q4",NA,0.0475906144578774,"Trad - reg","2014","4","by-type"
"2015 Q1",NA,0.048035421441437,"Trad - reg","2015","1","by-type"
"2015 Q2",NA,0.048476223051703,"Trad - reg","2015","2","by-type"
"2015 Q3",NA,0.0485735810337696,"Trad - reg","2015","3","by-type"
"2015 Q4",NA,0.0490142588178497,"Trad - reg","2015","4","by-type"
"2016 Q1",NA,0.0496807253001442,"Trad - reg","2016","1","by-type"
"2016 Q2",NA,0.0501911865867047,"Trad - reg","2016","2","by-type"
"2016 Q3",NA,0.0508158431299492,"Trad - reg","2016","3","by-type"
"2016 Q4",NA,0.0516731440602768,"Trad - reg","2016","4","by-type"
"2017 Q1",NA,0.0529751184573228,"Trad - reg","2017","1","by-type"
"2017 Q2",NA,0.0539253105035248,"Trad - reg","2017","2","by-type"
"2017 Q3",NA,0.054811206379559,"Trad - reg","2017","3","by-type"
"2017 Q4",NA,0.0558187029001893,"Trad - reg","2017","4","by-type"
"2018 Q1",NA,0.0576488757365465,"Trad - reg","2018","1","by-type"
