date,year,quarter,market,group,tariff,tou,regulated,incumbent,consumer,retailer_type,power,price,smartmeter
2011 Q1,2011,1,EDP,EDP,2.0A,0,false,1,255905,,,,
2011 Q1,2011,1,EDP,EDP,2.0DHA,1,false,1,9129,,,,
2011 Q1,2011,1,EDP,EDP,2.1A,0,false,1,15025,,,,
2011 Q1,2011,1,EDP,EDP,2.1DHA,1,false,1,2639,,,,
2011 Q1,2011,1,EDP,EDP,2.0A,0,true,1,290937,,,,
2011 Q1,2011,1,EDP,EDP,2.0DHA,1,true,1,27638,,,,
2011 Q1,2011,1,EDP,EDP,2.1A,0,true,1,720,,,,
2011 Q1,2011,1,EDP,EDP,2.1DHA,1,true,1,301,,,,
2011 Q2,2011,2,EDP,EDP,2.0A,0,false,1,266417,,,,
2011 Q2,2011,2,EDP,EDP,2.0DHA,1,false,1,10012,,,,
2011 Q2,2011,2,EDP,EDP,2.1A,0,false,1,14691,,,,
2011 Q2,2011,2,EDP,EDP,2.1DHA,1,false,1,2608,,,,
2011 Q2,2011,2,EDP,EDP,2.0A,0,true,1,276965,,,,
2011 Q2,2011,2,EDP,EDP,2.0DHA,1,true,1,26650,,,,
2011 Q2,2011,2,EDP,EDP,2.1A,0,true,1,660,,,,
2011 Q2,2011,2,EDP,EDP,2.1DHA,1,true,1,254,,,,
2011 Q3,2011,3,EDP,EDP,2.0A,0,false,1,274184,,,,
2011 Q3,2011,3,EDP,EDP,2.0DHA,1,false,1,10433,,,,
2011 Q3,2011,3,EDP,EDP,2.1A,0,false,1,14534,,,,
2011 Q3,2011,3,EDP,EDP,2.1DHA,1,false,1,2579,,,,
2011 Q3,2011,3,EDP,EDP,2.0A,0,true,1,267920,,,,
2011 Q3,2011,3,EDP,EDP,2.0DHA,1,true,1,25947,,,,
2011 Q3,2011,3,EDP,EDP,2.1A,0,true,1,605,,,,
2011 Q3,2011,3,EDP,EDP,2.1DHA,1,true,1,231,,,,
2011 Q4,2011,4,EDP,EDP,2.0A,0,false,1,279137,,,,
2011 Q4,2011,4,EDP,EDP,2.0DHA,1,false,1,10876,,,,
2011 Q4,2011,4,EDP,EDP,2.1A,0,false,1,14276,,,,
2011 Q4,2011,4,EDP,EDP,2.1DHA,1,false,1,2394,,,,
2011 Q4,2011,4,EDP,EDP,2.0A,0,true,1,261451,regulated,4.4,0.142319,
2011 Q4,2011,4,EDP,EDP,2.0DHA,1,true,1,25483,regulated,5.5,0.09977267000000001,
2011 Q4,2011,4,EDP,EDP,2.1A,0,true,1,589,,,,
2011 Q4,2011,4,EDP,EDP,2.1DHA,1,true,1,227,,,,
2012 Q1,2012,1,EDP,EDP,2.0A,0,false,1,287385,,,,
2012 Q1,2012,1,EDP,EDP,2.0DHA,1,false,1,11359,,,,
2012 Q1,2012,1,EDP,EDP,2.1A,0,false,1,13933,,,,
2012 Q1,2012,1,EDP,EDP,2.1DHA,1,false,1,2366,,,,
2012 Q1,2012,1,EDP,EDP,2.0A,0,true,1,255946,regulated,4.4,0.142349,
2012 Q1,2012,1,EDP,EDP,2.0DHA,1,true,1,24570,regulated,5.5,0.09980267,
2012 Q1,2012,1,EDP,EDP,2.1A,0,true,1,541,,,,
2012 Q1,2012,1,EDP,EDP,2.1DHA,1,true,1,202,,,,
2012 Q2,2012,2,EDP,EDP,2.0A,0,false,1,294847,,,,
2012 Q2,2012,2,EDP,EDP,2.0DHA,1,false,1,11657,,,,
2012 Q2,2012,2,EDP,EDP,2.1A,0,false,1,13785,,,,
2012 Q2,2012,2,EDP,EDP,2.1DHA,1,false,1,2344,,,,
2012 Q2,2012,2,EDP,EDP,2.0A,0,true,1,248848,regulated,4.4,0.14216133333333333,
2012 Q2,2012,2,EDP,EDP,2.0DHA,1,true,1,24247,regulated,5.5,0.09760020666666668,
2012 Q2,2012,2,EDP,EDP,2.1A,0,true,1,529,,,,
2012 Q2,2012,2,EDP,EDP,2.1DHA,1,true,1,161,,,,
2012 Q3,2012,3,EDP,EDP,2.0A,0,false,1,302237,,,,
2012 Q3,2012,3,EDP,EDP,2.0DHA,1,false,1,12227,,,,
2012 Q3,2012,3,EDP,EDP,2.1A,0,false,1,13687,,,,
2012 Q3,2012,3,EDP,EDP,2.1DHA,1,false,1,2297,,,,
2012 Q3,2012,3,EDP,EDP,2.0A,0,true,1,241321,regulated,4.4,0.149198,
2012 Q3,2012,3,EDP,EDP,2.0DHA,1,true,1,23695,regulated,5.5,0.10519634000000001,
2012 Q3,2012,3,EDP,EDP,2.1A,0,true,1,495,,,,
2012 Q3,2012,3,EDP,EDP,2.1DHA,1,true,1,140,,,,
2012 Q4,2012,4,EDP,EDP,2.0A,0,false,1,311324,,,,
2012 Q4,2012,4,EDP,EDP,2.0DHA,1,false,1,14386,,,,
2012 Q4,2012,4,EDP,EDP,2.1A,0,false,1,13549,,,,
2012 Q4,2012,4,EDP,EDP,2.1DHA,1,false,1,2283,,,,
2012 Q4,2012,4,EDP,EDP,2.0A,0,true,1,232143,regulated,4.4,0.14557799999999999,
2012 Q4,2012,4,EDP,EDP,2.0DHA,1,true,1,21361,regulated,5.5,0.09846144000000001,
2012 Q4,2012,4,EDP,EDP,2.1A,0,true,1,501,,,,
2012 Q4,2012,4,EDP,EDP,2.1DHA,1,true,1,135,,,,
2013 Q1,2013,1,EDP,EDP,2.0A,0,false,1,317311,,,,
2013 Q1,2013,1,EDP,EDP,2.0DHA,1,false,1,15292,,,,
2013 Q1,2013,1,EDP,EDP,2.1A,0,false,1,13510,,,,
2013 Q1,2013,1,EDP,EDP,2.1DHA,1,false,1,2275,,,,
2013 Q1,2013,1,EDP,EDP,2.0A,0,true,1,224509,regulated,4.4,0.15093800000000002,
