"group","FECHA","smartmeter"
"IBERDROLA","2015_T3",0.45
"IBERDROLA","2015_T4",0.503333333333333
"IBERDROLA","2016_T1",0.56
"IBERDROLA","2016_T2",0.62
"IBERDROLA","2016_T3",0.68
"IBERDROLA","2016_T4",0.73
"IBERDROLA","2017_T1",0.786666666666667
"IBERDROLA","2017_T2",0.83
"IBERDROLA","2017_T3",0.876666666666667
"IBERDROLA","2017_T4",0.916666666666667
"IBERDROLA","2018_T1",0.953666666666667
"IBERDROLA","2018_T2",0.975333333333333
"IBERDROLA","2018_T3",0.988
"IBERDROLA","2018_T4",0.994666666666667
"IBERDROLA","2019_T1",0.997
"IBERDROLA","2019_T2",0.997
"IBERDROLA","2019_T3",0.997666666666667
"IBERDROLA","2019_T4",0.998
"GAS NATURAL","2015_T3",0.436666666666667
"GAS NATURAL","2015_T4",0.493333333333333
"GAS NATURAL","2016_T1",0.546666666666667
"GAS NATURAL","2016_T2",0.606666666666667
"GAS NATURAL","2016_T3",0.67
"GAS NATURAL","2016_T4",0.736666666666667
"GAS NATURAL","2017_T1",0.793333333333333
"GAS NATURAL","2017_T2",0.84
"GAS NATURAL","2017_T3",0.89
"GAS NATURAL","2017_T4",0.92
"GAS NATURAL","2018_T1",0.937666666666667
"GAS NATURAL","2018_T2",0.951
"GAS NATURAL","2018_T3",0.961666666666667
"GAS NATURAL","2018_T4",0.974333333333333
"GAS NATURAL","2019_T1",0.982
"GAS NATURAL","2019_T2",0.983666666666667
"GAS NATURAL","2019_T3",0.984
"GAS NATURAL","2019_T4",0.996
"EDP","2015_T3",0.403333333333333
"EDP","2015_T4",0.5
"EDP","2016_T1",0.556666666666667
"EDP","2016_T2",0.596666666666667
"EDP","2016_T3",0.653333333333333
"EDP","2016_T4",0.7
"EDP","2017_T1",0.743333333333333
"EDP","2017_T2",0.776666666666667
"EDP","2017_T3",0.826666666666667
"EDP","2017_T4",0.88
"EDP","2018_T1",0.922666666666667
"EDP","2018_T2",0.961666666666667
"EDP","2018_T3",0.972666666666667
"EDP","2018_T4",0.979333333333333
"EDP","2019_T1",0.983666666666667
"EDP","2019_T2",0.987333333333333
"EDP","2019_T3",0.990666666666667
"EDP","2019_T4",0.992333333333333
"ENDESA","2015_T3",0.42
"ENDESA","2015_T4",0.47
"ENDESA","2016_T1",0.526666666666667
"ENDESA","2016_T2",0.58
"ENDESA","2016_T3",0.63
"ENDESA","2016_T4",0.706666666666667
"ENDESA","2017_T1",0.763333333333333
"ENDESA","2017_T2",0.806666666666667
"ENDESA","2017_T3",0.853333333333333
"ENDESA","2017_T4",0.89
"ENDESA","2018_T1",0.907
"ENDESA","2018_T2",0.925333333333333
"ENDESA","2018_T3",0.948666666666667
"ENDESA","2018_T4",0.965333333333333
"ENDESA","2019_T1",0.975
"ENDESA","2019_T2",0.979333333333333
"ENDESA","2019_T3",0.981666666666667
"ENDESA","2019_T4",0.986
"REPSOL","2015_T3",0.905943333333333
"REPSOL","2015_T4",0.925043333333333
"REPSOL","2016_T1",0.97
"REPSOL","2016_T2",0.97
"REPSOL","2016_T3",0.97
"REPSOL","2016_T4",0.977563
"REPSOL","2017_T1",0.977564
"REPSOL","2017_T2",0.977563
"REPSOL","2017_T3",0.98
"REPSOL","2017_T4",0.98
"REPSOL","2018_T1",0.984048
"REPSOL","2018_T2",0.987
"REPSOL","2018_T3",0.989
"REPSOL","2018_T4",0.9892442
"REPSOL","2019_T1",0.9902442
"REPSOL","2019_T2",0.99
"REPSOL","2019_T3",0.9914884
"REPSOL","2019_T4",0.9914884
"OTROS","2015_T3",0.249795
"OTROS","2015_T4",0.313527333333333
"OTROS","2016_T1",0.370225666666667
"OTROS","2016_T2",0.406693333333333
"OTROS","2016_T3",0.456865
"OTROS","2016_T4",0.559603
"OTROS","2017_T1",0.652284666666667
"OTROS","2017_T2",0.682621
"OTROS","2017_T3",0.709646666666667
"OTROS","2017_T4",0.758734666666667
"OTROS","2018_T1",0.8316211
"OTROS","2018_T2",0.857142866666667
"OTROS","2018_T3",0.888155866666667
"OTROS","2018_T4",0.934502233333333
"OTROS","2019_T1",0.973893266666667
"OTROS","2019_T2",0.978319366666667
"OTROS","2019_T3",0.978787233333333
"OTROS","2019_T4",0.978997766666667
