DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Sept,Oct,Nov,Dic
R1-001,0.77,0.79,0.8,0.81,0.83,0.85,0.86,0.88,0.89,0.9,0.92,0.93
R1-002,0.78,0.79,0.81,0.82,0.84,0.86,0.88,0.89,0.9,0.91,0.92,0.93
R1-003,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98
R1-005,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
R1-008,0.73,0.74,0.76,0.76,0.78,0.79,0.79,0.84,0.85,0.86,0.89,0.89
R1-009,0.86,0.87,0.89,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99
R1-014,0.82,0.82,0.82,0.85,0.85,0.85,0.92,0.92,0.92,0.94,0.94,0.94
R1-015,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99
R1-016,0.7,0.73,0.76,0.75,0.78,0.82,0.84,0.86,0.86,0.87,0.87,0.87
R1-017,0.72,0.72,0.72,0.74,0.76,0.78,0.8,0.82,0.82,0.91,0.91,0.91
R1-018,0.66,0.9,0.91,0.91,0.95,0.95,0.97,0.97,0.97,0.97,0.97,0.97
R1-019,0,0,0,0,0,0,0,0,0,0,0.16,0.37
R1-020,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.72,0.72,0.74,0.74,0.79
R1-021,0.5,0.5,0.5,0.5,0.5,0.5,0.61,0.61,0.61,0.61,0.79,0.8
R1-022,0.38,0.38,0.38,0.46,0.5,0.52,0.55,0.56,0.62,0.63,0.67,0.72
R1-023,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
R1-024,0,0,0,0,0,0,0,0,0,0,0,0
R1-025,0.71,0.76,0.85,0.85,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9
R1-026,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96
R1-027,0.73,0.74,0.76,0.78,0.81,0.84,0.85,0.87,0.89,0.93,0.95,0.97
R1-028,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
R1-029,0.56,0.56,0.56,0.56,0.56,0.55,0.56,0.56,0.55,SIN DATOS,SIN DATOS,SIN DATOS
R1-030,0.73,0.73,0.73,0.75,0.75,0.75,0.75,0.83,0.83,0.83,0.83,0.84
R1-031,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
R1-032,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
R1-033,0.57,0.57,0.61,0.6,0.71,0.71,0.75,0.75,0.77,0.77,0.81,0.83
R1-034,0,0,0,0,0,0,0,0,0,0,0,0
R1-035,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.89,0.91,0.92,0.94
