DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-001,"94,6%","95,3%","96,2%","97,0%","97,6%","98,0%","98,5%","98,8%","99,1%","99,3%","99,5%","99,6%"
R1-002,"93,2%","93,8%","94,3%","94,7%","95,1%","95,5%","95,8%","96,2%","96,5%","96,9%","97,5%","97,9%"
R1-003,"97,8%","97,8%","97,8%","98,7%","98,7%","98,7%","98,9%","98,9%","98,9%","99,0%","99,0%","99,0%"
R1-005,"98,6%","98,6%","98,6%","98,7%","98,7%","98,7%","98,9%","98,9%","98,9%","98,9%","98,9%","98,9%"
R1-008,"91,6%","91,6%","93,6%","95,3%","96,3%","96,9%","96,8%","97,5%","97,5%","97,8%","97,9%","98,1%"
R1-009,"99,5%","99,5%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%","99,8%","99,9%","100,0%"
R1-014,"96,7%","96,7%","96,7%","99,0%","99,1%","99,1%","99,3%","99,3%","99,3%","99,6%","99,6%","99,6%"
R1-015,"99,0%","99,0%","99,1%","99,1%","99,1%","99,0%","99,2%","99,2%","99,1%","99,4%","99,5%","99,5%"
R1-016,"88,2%","89,6%","90,7%","92,2%","94,0%","96,0%","96,2%","95,5%","95,5%","96,4%","96,0%","95,9%"
R1-017,"91,1%","93,7%","94,0%","94,7%","94,8%","94,8%","94,9%","95,6%","95,9%","96,6%","97,1%","97,1%"
R1-018,"97,5%","97,6%","97,7%","97,8%","97,9%","98,0%","98,1%","98,1%","98,2%","98,2%","98,2%","98,3%"
R1-019,"36,4%","41,2%","41,4%","41,3%","69,4%","69,5%","53,2%","98,3%","98,6%","98,4%","98,4%","98,5%"
R1-020,"83,1%","85,1%","85,3%","91,8%","92,2%","93,8%","94,4%","97,3%","97,4%","98,1%","98,2%","99,4%"
R1-021,"85,1%","85,1%","87,2%","90,6%","91,6%","94,6%","95,1%","95,4%","95,9%","99,2%","99,2%","99,4%"
R1-022,"74,2%","77,5%","78,6%","82,4%","83,9%","86,1%","86,2%","87,8%","88,3%","91,2%","99,4%","99,6%"
R1-023,"36,8%","36,8%","36,8%","36,8%","36,8%","36,8%","36,8%","36,7%","36,7%","36,7%","36,7%","36,7%"
R1-024,"23,1%","23,6%","98,9%","99,0%","99,0%","99,0%","99,0%","98,9%","98,9%","99,0%","99,0%","99,0%"
R1-025,"89,8%","90,0%","90,0%","90,0%","90,1%","90,1%","90,1%","90,2%","90,2%","90,2%","98,6%","98,6%"
R1-026,"96,3%","96,2%","96,0%","97,9%","97,4%","96,8%","98,6%","98,5%","98,4%","98,8%","99,0%","99,0%"
R1-027,"98,4%","98,7%","98,9%","99,3%","99,5%","99,6%","99,7%","99,8%","99,8%","99,9%","99,9%","99,9%"
R1-028,"99,0%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,2%","99,2%"
