date,year,quarter,market,consumer_reg,consumer_inc,smartmeter,consumer_commercial,consumer_market,consumer_ENDESA,consumer_EDP,consumer_OTHERS,consumer_NATURGY,consumer_REPSOL,consumer_IBERDROLA,consumer_reg_fdata,registration_distr_reg,switch_reg_inc,switch_reg_others,switch_inc_reg,switch_others_reg,consumer_reg_lag,consumer_inc_lag,consumer_commercial_lag,consumer_market_lag,consumer_ENDESA_lag,consumer_IBERDROLA_lag,consumer_NATURGY_lag,consumer_OTHERS_lag,consumer_REPSOL_lag,consumer_EDP_lag,reg_switch_out,reg_switch_in,lambdas,P,Pi,Po
2016 Q1,2016,1,EDP,205985,371506,0.556666667,433250,639235,7946,371506,5336,22772,1990,23700,234801,458.8147196988088,1729.1086281574608,1129.0526658745066,1168.5300318141747,221.07324926214113,,,,,,,,,,,2858.1612940319674,1389.6032810763159,,,,
2016 Q2,2016,2,EDP,202781,373630,0.596666667,436746,639527,7662,373630,6099,23279,2234,23842,231943,515.8197919316383,2551.122292977154,1298.2921881669204,1158.4088547617303,480.8489585803408,205985,371506,433250,639235,7946,23700,22772,5336,1990,371506,3849.414481144074,1639.2578133420711,0.022471469096148722,0.16837485129210952,0.5511428989165624,0.280482249791328
2016 Q3,2016,3,EDP,199925,374864,0.653333333,440025,639950,8082,374864,6739,23307,2623,24410,229244,715.9987829561514,1976.191525187137,1350.0196297394916,1036.0615763117028,305.2369963881279,202781,373630,436746,639527,7662,23842,23279,6099,2234,373630,3326.2111549266283,1341.2985726998306,0.019474090604630276,0.15770277668751737,0.5004314389161211,0.3418657843963616
2016 Q4,2016,4,EDP,197298,375709,0.7,443261,640559,7896,375709,7422,24301,3061,24872,226874,618.3118294736286,2137.567477983374,1407.942126466673,1262.7127656761022,273.0659837619119,199925,374864,440025,639950,8082,24410,23307,6739,2623,374864,3545.509604450047,1535.778749438014,0.02122440628808358,0.16444313655138293,0.5037524577769685,0.33180440567164854
2017 Q1,2017,1,EDP,192299,378616,0.743333333,448214,640513,8010,378616,8191,24925,3519,24953,221872,358.81853501117763,3717.325354258311,1529.745686702243,1690.9540140261051,373.55262944400374,197298,375709,443261,640559,7896,24872,24301,7422,3061,375709,5247.0710409605545,2064.506643470109,0.031252190728880185,0.14903089059218086,0.6028752081681756,0.24809390123964328
2017 Q2,2017,2,EDP,190728,379019,0.776666667,450374,641102,8356,379019,9243,25590,3803,24363,225665,511.33512064343165,993.9340526887199,1617.6783816719474,1700.5062193960075,278.91006580550817,192299,378616,448214,640513,8010,24953,24925,8191,3519,378616,2611.612434360667,1979.4162852015156,0.017997228903512588,0.24538390923294262,0.28719369668027817,0.46742239408677927
2017 Q3,2017,3,EDP,189023,381067,0.826666667,452702,641725,8577,381067,10239,24501,4530,23788,218905,663.1628514652474,1360.8654347776433,967.9759850163313,1105.271419108746,284.0892944427948,190728,379019,450374,641102,8356,24363,25590,9243,3803,379019,2328.8414197939746,1389.3607135515408,0.015295179823798752,0.2016912772252203,0.46649408494366057,0.331814637831119
2017 Q4,2017,4,EDP,187706,382409,0.88,454794,642500,8710,382409,11234,24000,4929,23512,222484,565.2677046439294,1528.7538519623884,1221.6531885438953,1394.6082325021125,301.19488142967583,189023,381067,452702,641725,8577,23788,24501,10239,4530,381067,2750.407040506284,1695.8031139317884,0.018296606451836707,0.20473517707648103,0.4420306316372443,0.3532341912862747
2018 Q1,2018,1,EDP,186415,382250,0.922666667,455985,642400,9000,382250,12186,23576,5525,23448,211944,330.71018759672364,1123.1832701090852,4032.7292822632394,1990.417964179217,357.976187106028,187706,382409,454794,642500,8710,23512,24000,11234,4929,382409,5155.912552372325,2348.3941512852452,0.0326316657315399,0.15824027173358426,0.1833720868297872,0.6583876414366284
2018 Q2,2018,2,EDP,186615,381509,0.961666667,456491,643106,9218,381509,13156,22700,6376,23532,213310,423.4290938071352,1247.541090431766,2249.2483474755054,3884.3495382307437,382.3109793258638,186415,382250,455985,642400,9000,23448,23576,12186,5525,382250,3496.7894379072713,4266.660517556607,0.028115109943784227,0.33281105699783065,0.23803138171656077,0.42915756128560856
