date,year,quarter,market,group,tariff,tou,regulated,incumbent,consumer,smartmeter
2015 Q3,2015,3,IBERDROLA,ENDESA,2.0NA-DHA,1,false,0,17691,0.45
2015 Q3,2015,3,IBERDROLA,ENDESA,2.0A,0,false,0,354088,0.45
2015 Q3,2015,3,IBERDROLA,ENDESA,2.1A,0,false,0,16653,0.45
2015 Q3,2015,3,IBERDROLA,ENDESA,2.1DHA,1,false,0,3285,0.45
2015 Q3,2015,3,IBERDROLA,EDP,2.0A,0,false,0,231453,0.45
2015 Q3,2015,3,IBERDROLA,EDP,2.0NA-DHA,1,false,0,4165,0.45
2015 Q3,2015,3,IBERDROLA,EDP,2.1A,0,false,0,2661,0.45
2015 Q3,2015,3,IBERDROLA,EDP,2.1DHA,1,false,0,395,0.45
2015 Q3,2015,3,IBERDROLA,OTHERS,2.0A,0,false,0,138039,0.45
2015 Q3,2015,3,IBERDROLA,OTHERS,2.0NA-DHA,1,false,0,33969,0.45
2015 Q3,2015,3,IBERDROLA,OTHERS,2.1A,0,false,0,19150,0.45
2015 Q3,2015,3,IBERDROLA,OTHERS,2.1DHA,1,false,0,7434,0.45
2015 Q3,2015,3,IBERDROLA,NATURGY,2.0A,0,false,0,511914,0.45
2015 Q3,2015,3,IBERDROLA,NATURGY,2.0NA-DHA,1,false,0,19050,0.45
2015 Q3,2015,3,IBERDROLA,NATURGY,2.1A,0,false,0,31639,0.45
2015 Q3,2015,3,IBERDROLA,NATURGY,2.1DHA,1,false,0,6801,0.45
2015 Q3,2015,3,IBERDROLA,REPSOL,2.0A,0,false,0,28677,0.45
2015 Q3,2015,3,IBERDROLA,REPSOL,2.0NA-DHA,1,false,0,29365,0.45
2015 Q3,2015,3,IBERDROLA,REPSOL,2.1A,0,false,0,3644,0.45
2015 Q3,2015,3,IBERDROLA,REPSOL,2.1DHA,1,false,0,1554,0.45
2015 Q3,2015,3,IBERDROLA,IBERDROLA,2.0A,0,true,1,3856065,0.45
