,date,group,year,quarter,newcons_net,transf_in,transf_out,registration,dropout,registration_distr,registration_distr_com,registration_distr_reg,registration_distr_group,registration_distr_others,registration_others_group,switching_net,switching_in,switching_out,switch_com_reg,switch_others_reg,switch_reg_com,switch_reg_others,switch_others_com,switch_com_others,switch_group_others,cons_change,consumer,consumer_com,consumer_reg
1,2020 Q3,EDP,2020,3,1443,11,7,3920,2477,2814,1548,394,1942,872,1978,411,34049,33638,2177,1464,767,1212,29641,29482,-411,1854,1159932,925668,234264
2,2020 Q2,EDP,2020,2,580,0,0,2160,1580,1518,865,182,1047,471,1113,-6600,26493,33093,2614,1479,855,847,21545,28777,6600,-6020,1158078,925366,232712
3,2020 Q1,EDP,2020,1,-112,0,16,3497,3609,2033,1260,285,1545,488,1952,-690,44125,44815,3171,1140,862,1656,38952,39126,690,-802,1164098,933674,230424
4,2019 Q4,EDP,2019,4,416,NA,NA,3995,3579,2455,1326,540,1866,589,2129,7562,44308,36746,2240,837,1160,1254,40071,32092,-7562,7978,1164900,935968,228932
5,2019 Q3,EDP,2019,3,760,NA,NA,4416,3656,2435,1366,662,2028,407,2388,4769,35424,30655,1680,625,1402,1093,31717,26480,-4769,5529,1156922,929635,227287
6,2019 Q2,EDP,2019,2,73,NA,NA,4263,4190,2599,1588,465,2053,546,2210,915,36451,35536,2711,583,1069,1010,32088,30746,-915,988,1151393,925193,226200
7,2019 Q1,EDP,2019,1,-433,NA,NA,4224,4657,2443,1573,340,1913,530,2311,-1968,40380,42348,8701,685,893,1386,30101,31368,1968,-2401,1150405,924222,226183
8,2018 Q4,EDP,2018,4,1714,NA,NA,5485,3771,2712,1622,670,2292,434,3193,993,38130,37137,6429,610,853,1345,30238,28510,-993,2707,1152806,937358,215448
9,2018 Q3,EDP,2018,3,1744,NA,NA,5354,3610,2874,1811,632,2443,431,2911,7046,49246,42200,2362,316,1338,1267,45230,37233,-7046,8790,1150099,935106,214993
10,2018 Q2,EDP,2018,2,1559,NA,NA,4901,3342,2546,1706,484,2190,356,2711,5359,61779,56420,4440,437,1426,2571,55476,47983,-5359,6918,1141309,927999,213310
11,2018 Q1,EDP,2018,1,1716,NA,NA,4562,2846,2353,1624,376,2000,329,2562,277,55784,55507,2263,407,1277,4585,51837,47382,-277,1993,1134391,922447,211944
12,2017 Q4,EDP,2017,4,1275,NA,NA,4797,3522,2679,1688,670,2358,321,2439,14912,59533,44621,1653,357,1812,1448,55711,39708,-14912,16187,1132398,909914,222484
13,2017 Q3,EDP,2017,3,2185,NA,NA,4878,2693,2743,1673,768,2441,302,2437,17744,55136,37392,1280,329,1576,1121,51951,33415,-17744,19929,1116211,897306,218905
14,2017 Q2,EDP,2017,2,1998,NA,NA,5182,3184,2751,1871,605,2476,275,2706,14977,56164,41187,2012,330,1176,1914,52646,36085,-14977,16975,1096282,870617,225665
15,2017 Q1,EDP,2017,1,428,NA,NA,4507,4079,2436,1778,414,2192,244,2315,11651,55299,43648,1951,431,4289,1765,48628,35643,-11651,12079,1079307,857435,221872
16,2016 Q4,EDP,2016,4,1131,NA,NA,4174,3043,2541,1626,711,2337,203,1837,10284,48504,38220,1452,314,2458,1619,44280,32691,-10284,11415,1067228,840354,226874
17,2016 Q3,EDP,2016,3,696,NA,NA,4485,3789,2933,1906,821,2727,205,1758,10977,45573,34596,1188,350,2266,1548,41769,29594,-10977,11673,1055813,826569,229244
18,2016 Q2,EDP,2016,2,1980,NA,NA,4859,2879,2683,1878,590,2468,215,2391,14940,53278,38338,1325,550,2918,1485,48485,32610,-14940,16920,1044140,812197,231943
19,2016 Q1,EDP,2016,1,458,NA,NA,4068,3610,2379,1642,523,2165,214,1903,14297,48128,33831,1332,252,1971,1287,44573,29241,-14297,14755,1027220,792419,234801
20,2020 Q3,ENDESA,2020,3,15328,1032,14,33506,18178,46239,24969,5549,30518,15721,2988,-70893,188880,259773,35454,5882,33789,27411,113755,163119,70893,-55565,10108476,5308489,4799987
21,2020 Q2,ENDESA,2020,2,12458,0,0,21817,9359,30231,15418,3930,19348,11185,2469,-76251,129281,205532,33930,6105,16028,20524,73218,135050,76251,-63793,10164041,5338791,4825250
22,2020 Q1,ENDESA,2020,1,8588,1,1,36237,27649,47125,27332,5655,32987,13666,3250,-72488,173089,245577,33689,4990,40279,30176,94131,141433,72488,-63900,10227834,5413885,4813949
23,2019 Q4,ENDESA,2019,4,18491,NA,NA,41246,22755,52687,31085,7903,38988,14225,2258,-78196,159396,237592,27493,3471,45956,34541,82476,129602,78196,-59705,10291734,5438631,4853103
